VIIb, Monday 08:50, J.Polski, Maria Mróz, R101,
VIIb, Monday 09:45, J.Polski, Maria Mróz, R101,
VIIb, Monday 10:35, Fizyka, Kryspin Wróblewski, R101,
VIIb, Monday 11:35, Historia, Patrycja Chmielewska, R101,
VIIb, Monday 12:25, Matematyka, Bartłomiej Kwiatkowski, R101,
VIIb, Monday 13:15, Geografia, Eliza Zakrzewska, R101,
VIIIc, Monday 14:05, J.Angielski, Paula Michalak, R101,
VIIIc, Tuesday 09:45, Chemia, Marcelina Witkowska, R101,
VIIIb, Tuesday 10:35, Matematyka, Ola Kubiak, R101,
VIIIb, Tuesday 11:35, Geografia, Eliza Zakrzewska, R101,
VIIIa, Tuesday 12:25, J.Polski, Maria Mróz, R101,
VIIIa, Tuesday 14:05, Biologia, Alojzy Kamiński, R101,
VIIb, Wednesday 10:35, Matematyka, Bartłomiej Kwiatkowski, R101,
VIIb, Wednesday 12:25, Biologia, Alojzy Kamiński, R101,
VIIa, Thursday 08:50, Chemia, Marcelina Witkowska, R101,
VIIa, Thursday 09:45, Geografia, Eliza Zakrzewska, R101,
VIIIc, Thursday 12:25, J.Polski, Maria Mróz, R101,
VIIIc, Friday 10:35, Matematyka, Ola Kubiak, R101,
VIIIa, Friday 11:35, Historia, Patrycja Chmielewska, R101,
VIIb, Friday 12:25, Matematyka, Bartłomiej Kwiatkowski, R101,
VIIb, Friday 13:15, Biologia, Alojzy Kamiński, R101,
VIIb, Friday 14:05, Matematyka, Bartłomiej Kwiatkowski, R101,
VIIIa, Monday 08:50, Matematyka, Bartłomiej Kwiatkowski, R102,
VIIIa, Monday 10:35, J.Polski, Maria Mróz, R102,
VIIIb, Monday 11:35, Matematyka, Ola Kubiak, R102,
VIIIb, Monday 12:25, J.Polski, Konstanty Tomaszewski, R102,
VIIIb, Tuesday 08:50, Biologia, Alojzy Kamiński, R102,
VIIIb, Tuesday 09:45, Matematyka, Ola Kubiak, R102,
VIIc, Tuesday 11:35, Chemia, Marcelina Witkowska, R102,
VIIIc, Wednesday 08:00, J.Polski, Maria Mróz, R102,
VIIIc, Wednesday 08:50, Fizyka, Kryspin Wróblewski, R102,
VIIIc, Wednesday 09:45, Biologia, Alojzy Kamiński, R102,
VIIIc, Wednesday 10:35, Matematyka, Ola Kubiak, R102,
VIIc, Wednesday 11:35, Historia, Patrycja Chmielewska, R102,
VIIIa, Wednesday 12:25, Matematyka, Bartłomiej Kwiatkowski, R102,
VIIIa, Wednesday 13:15, Geografia, Eliza Zakrzewska, R102,
VIIIa, Wednesday 14:05, J.Angielski, Paula Michalak, R102,
VIIIb, Thursday 10:35, Godzina wychowawcza, Paula Michalak, R102,
VIIIb, Thursday 12:25, Matematyka, Ola Kubiak, R102,
VIIIb, Thursday 13:15, Historia, Patrycja Chmielewska, R102,
VIIIb, Friday 08:50, Matematyka, Ola Kubiak, R102,
VIIIa, Friday 09:45, J.Polski, Maria Mróz, R102,
VIIb, Friday 11:35, Chemia, Marcelina Witkowska, R102,
VIIa, Friday 13:15, J.Polski, Konstanty Tomaszewski, R102,
VIIIa, Monday 08:00, Matematyka, Bartłomiej Kwiatkowski, R103,
VIIIa, Monday 09:45, Chemia, Marcelina Witkowska, R103,
VIIIa, Monday 11:35, Biologia, Alojzy Kamiński, R103,
VIIb, Tuesday 08:50, J.Polski, Maria Mróz, R103,
VIIa, Tuesday 10:35, Geografia, Eliza Zakrzewska, R103,
VIIa, Wednesday 09:45, Historia, Patrycja Chmielewska, R103,
VIIa, Wednesday 11:35, Matematyka, Ola Kubiak, R103,
VIIa, Wednesday 12:25, Chemia, Marcelina Witkowska, R103,
VIIIb, Wednesday 13:15, Fizyka, Kryspin Wróblewski, R103,
VIIIb, Wednesday 14:05, J.Polski, Konstanty Tomaszewski, R103,
VIIIb, Thursday 08:50, Matematyka, Ola Kubiak, R103,
VIIIa, Thursday 09:45, Fizyka, Kryspin Wróblewski, R103,
VIIIa, Thursday 10:35, Chemia, Marcelina Witkowska, R103,
VIIIa, Thursday 11:35, Geografia, Eliza Zakrzewska, R103,
VIIIa, Friday 10:35, J.Angielski, Paula Michalak, R103,
VIIIa, Friday 12:25, Historia, Patrycja Chmielewska, R103,
VIIIa, Friday 13:15, Godzina wychowawcza, Bartłomiej Kwiatkowski, R103,
VIIIb, Monday 08:00, Geografia, Eliza Zakrzewska, R202,
VIIIb, Monday 09:45, Fizyka, Kryspin Wróblewski, R202,
VIIc, Monday 10:35, Historia, Patrycja Chmielewska, R202,
VIIc, Tuesday 09:45, J.Angielski, Paula Michalak, R202,
VIIIc, Tuesday 11:35, Biologia, Alojzy Kamiński, R202,
VIIa, Tuesday 12:25, J.Angielski, Paula Michalak, R202,
VIIIa, Tuesday 13:15, Matematyka, Bartłomiej Kwiatkowski, R202,
VIIa, Wednesday 08:50, Biologia, Alojzy Kamiński, R202,
VIIa, Wednesday 10:35, J.Angielski, Paula Michalak, R202,
VIIb, Wednesday 11:35, Matematyka, Bartłomiej Kwiatkowski, R202,
VIIb, Wednesday 13:15, J.Polski, Maria Mróz, R202,
VIIb, Thursday 08:50, J.Angielski, Paula Michalak, R202,
VIIb, Thursday 10:35, Godzina wychowawcza, Patrycja Chmielewska, R202,
VIIb, Thursday 12:25, Historia, Patrycja Chmielewska, R202,
VIIb, Thursday 13:15, Geografia, Eliza Zakrzewska, R202,
VIIIc, Friday 12:25, J.Angielski, Paula Michalak, R202,
VIIIc, Friday 13:15, J.Polski, Maria Mróz, R202,
VIIa, Monday 08:00, Matematyka, Ola Kubiak, R203,
VIIa, Monday 08:50, Godzina wychowawcza, Ola Kubiak, R203,
VIIa, Monday 09:45, Historia, Patrycja Chmielewska, R203,
VIIa, Monday 10:35, Matematyka, Ola Kubiak, R203,
VIIa, Monday 11:35, Muzyka, Alek Sobczak, R203,
VIIIc, Monday 12:25, Matematyka, Ola Kubiak, R203,
VIIIc, Monday 13:15, Chemia, Marcelina Witkowska, R203,
VIIc, Tuesday 10:35, Muzyka, Alek Sobczak, R203,
VIIc, Wednesday 09:45, Matematyka, Ola Kubiak, R203,
VIIc, Wednesday 10:35, Geografia, Eliza Zakrzewska, R203,
VIIIc, Wednesday 11:35, Geografia, Eliza Zakrzewska, R203,
VIIIc, Thursday 08:00, Historia, Patrycja Chmielewska, R203,
VIIIc, Thursday 08:50, J.Polski, Maria Mróz, R203,
VIIIc, Thursday 09:45, Matematyka, Ola Kubiak, R203,
VIIIc, Thursday 10:35, Fizyka, Kryspin Wróblewski, R203,
VIIIc, Thursday 11:35, Historia, Patrycja Chmielewska, R203,
VIIa, Friday 08:50, J.Polski, Konstanty Tomaszewski, R203,
VIIa, Friday 09:45, Fizyka, Kryspin Wróblewski, R203,
VIIc, Friday 10:35, Geografia, Eliza Zakrzewska, R203,
VIIc, Friday 11:35, Godzina wychowawcza, Maria Mróz, R203,
VIIc, Friday 14:05, Fizyka, Kryspin Wróblewski, R203,
VIIc, Monday 11:35, J.Polski, Maria Mróz, R302,
VIIc, Monday 12:25, J.Polski, Maria Mróz, R302,
VIIc, Monday 13:15, J.Polski, Maria Mróz, R302,
VIIa, Tuesday 08:00, J.Polski, Konstanty Tomaszewski, R302,
VIIa, Tuesday 08:50, J.Polski, Konstanty Tomaszewski, R302,
VIIa, Tuesday 11:35, Matematyka, Ola Kubiak, R302,
VIIc, Tuesday 12:25, Matematyka, Ola Kubiak, R302,
VIIc, Tuesday 13:15, Matematyka, Ola Kubiak, R302,
VIIc, Tuesday 14:05, J.Angielski, Paula Michalak, R302,
VIIc, Wednesday 08:00, Biologia, Alojzy Kamiński, R302,
VIIc, Wednesday 08:50, J.Polski, Maria Mróz, R302,
VIIc, Wednesday 12:25, Matematyka, Ola Kubiak, R302,
VIIc, Thursday 10:35, Matematyka, Ola Kubiak, R302,
VIIIb, Thursday 11:35, Chemia, Marcelina Witkowska, R302,
VIIIa, Thursday 13:15, J.Polski, Maria Mróz, R302,
VIIIa, Friday 08:00, Fizyka, Kryspin Wróblewski, R302,
VIIIa, Friday 08:50, Matematyka, Bartłomiej Kwiatkowski, R302,
VIIa, Friday 10:35, Biologia, Alojzy Kamiński, R302,
VIIa, Friday 11:35, Fizyka, Kryspin Wróblewski, R302,
VIIa, Friday 12:25, Matematyka, Ola Kubiak, R302,
VIIc, Friday 13:15, Chemia, Marcelina Witkowska, R302,
VIIIc, Monday 08:50, Godzina wychowawcza, Alojzy Kamiński, R303,
VIIIc, Monday 09:45, J.Angielski, Paula Michalak, R303,
VIIIb, Tuesday 08:00, Biologia, Alojzy Kamiński, R303,
VIIb, Tuesday 09:45, Fizyka, Kryspin Wróblewski, R303,
VIIb, Tuesday 10:35, Chemia, Marcelina Witkowska, R303,
VIIb, Tuesday 12:25, Muzyka, Alek Sobczak, R303,
VIIb, Wednesday 08:00, J.Angielski, Paula Michalak, R303,
VIIIb, Wednesday 08:50, Chemia, Marcelina Witkowska, R303,
VIIIb, Wednesday 09:45, J.Angielski, Paula Michalak, R303,
VIIIb, Wednesday 11:35, J.Polski, Konstanty Tomaszewski, R303,
VIIIb, Wednesday 12:25, J.Polski, Konstanty Tomaszewski, R303,
VIIc, Thursday 11:35, Fizyka, Kryspin Wróblewski, R303,
VIIc, Thursday 14:05, Biologia, Alojzy Kamiński, R303,
VIIIb, Friday 08:00, J.Angielski, Paula Michalak, R303,
VIIIb, Friday 09:45, Historia, Patrycja Chmielewska, R303,
VIIIc, Friday 11:35, Geografia, Eliza Zakrzewska, R303,
VIIIc, Friday 14:05, J.Angielski, Paula Michalak, R303,
VIIc, Monday 14:05, Informatyka, Maciej Michalak, R201,
VIIIc, Tuesday 08:00, Informatyka, Maciej Michalak, R201,
VIIIc, Tuesday 08:50, Informatyka, Maciej Michalak, R201,
VIIa, Tuesday 09:45, Informatyka, Maciej Michalak, R201,
VIIIa, Tuesday 10:35, Informatyka, Maciej Michalak, R201,
VIIIa, Tuesday 11:35, Informatyka, Maciej Michalak, R201,
VIIb, Wednesday 08:50, Informatyka, Maciej Michalak, R201,
VIIIa, Wednesday 11:35, Informatyka, Maciej Michalak, R201,
VIIIb, Thursday 09:45, Informatyka, Maciej Michalak, R201,
VIIb, Thursday 11:35, Informatyka, Maciej Michalak, R201,
VIIa, Thursday 12:25, Informatyka, Maciej Michalak, R201,
VIIIb, Friday 11:35, Informatyka, Maciej Michalak, R201,
VIIc, Friday 12:25, Informatyka, Maciej Michalak, R201,
VIIIb, Monday 08:50, WF, Dorian Duda, S1,
VIIIc, Monday 10:35, WF, Anna Borkowska, S1,
VIIIc, Tuesday 10:35, WF, Anna Borkowska, S1,
VIIIc, Tuesday 12:25, WF, Anna Borkowska, S1,
VIIa, Wednesday 08:00, WF, Dorian Duda, S1,
VIIIb, Wednesday 10:35, WF, Dorian Duda, S1,
VIIIa, Thursday 12:25, WF, Anna Borkowska, S1,
VIIIb, Friday 10:35, WF, Dorian Duda, S1,
VIIc, Monday 09:45, WF, Dorian Duda, S2,
VIIIb, Monday 10:35, WF, Dorian Duda, S2,
VIIIc, Monday 11:35, WF, Anna Borkowska, S2,
VIIa, Monday 12:25, WF, Dorian Duda, S2,
VIIb, Tuesday 11:35, WF, Anna Borkowska, S2,
VIIb, Tuesday 13:15, WF, Anna Borkowska, S2,
VIIb, Wednesday 09:45, WF, Anna Borkowska, S2,
VIIIa, Wednesday 10:35, WF, Anna Borkowska, S2,
VIIIa, Thursday 08:00, WF, Anna Borkowska, S2,
VIIIa, Thursday 08:50, WF, Anna Borkowska, S2,
VIIb, Thursday 09:45, WF, Anna Borkowska, S2,
VIIa, Thursday 10:35, WF, Dorian Duda, S2,
VIIa, Thursday 11:35, WF, Dorian Duda, S2,
VIIc, Thursday 12:25, WF, Dorian Duda, S2,
VIIc, Thursday 13:15, WF, Dorian Duda, S2,
VIIc, Friday 09:45, WF, Dorian Duda, S2,
