TOTAL PLAN FOR TEACHERS 

Day Time         Bartłomiej Kwiatkowski            Alojzy Kamiński                   Eliza Zakrzewska        Maria Mróz                       Ola Kubiak                       Kryspin Wróblewski    Paula Michalak                    Alek Sobczak        Patrycja Chmielewska             Konstanty Tomaszewski    Marcelina Witkowska    Maciej Michalak           Dorian Duda    Anna Borkowska
---------------  --------------------------------  --------------------------------  ----------------------  -------------------------------  -------------------------------  --------------------  --------------------------------  ------------------  -------------------------------  -----------------------  ---------------------  ------------------------  -------------  ----------------
Monday 08:00     ----                              ----                              ----                    ----                             ----                             ----                  ----                              ----                ----                             VIIa, J.Polski, R203     ----                   VIIb, Informatyka, R201   VIIIb, WF, S2  ----
Monday 08:50     VIIb, Matematyka, R101            ----                              VIIa, Geografia, R203   ----                             ----                             VIIIc, Fizyka, R103   VIIIb, J.Angielski, R202          ----                ----                             ----                     ----                   VIIc, Informatyka, R201   ----           VIIIa, WF, S2
Monday 09:45     VIIIa, Godzina wychowawcza, R303  VIIb, Biologia, R101              ----                    ----                             VIIa, Matematyka, R203           VIIIc, Fizyka, R103   VIIIb, Godzina wychowawcza, R302  ----                ----                             ----                     ----                   VIIc, Informatyka, R201   ----           ----
Monday 10:35     ----                              ----                              VIIb, Geografia, R101   ----                             VIIa, Godzina wychowawcza, R203  ----                  VIIIc, J.Angielski, R103          ----                VIIc, Historia, R102             VIIIb, J.Polski, R302    ----                   ----                      ----           VIIIa, WF, S2
Monday 11:35     ----                              VIIb, Biologia, R101              ----                    VIIIa, J.Polski, R303            VIIIc, Matematyka, R103          ----                  VIIc, J.Angielski, R203           ----                VIIIb, Historia, R202            ----                     ----                   ----                      VIIa, WF, S1   ----
Monday 12:25     ----                              VIIIc, Biologia, R103             ----                    VIIIa, J.Polski, R303            ----                             ----                  VIIc, J.Angielski, R102           ----                ----                             ----                     VIIIb, Chemia, R202    ----                      ----           ----
Monday 13:15     ----                              ----                              VIIIc, Geografia, R103  ----                             VIIc, Matematyka, R203           VIIIa, Fizyka, R303   ----                              ----                ----                             ----                     ----                   ----                      ----           ----
Monday 14:05     ----                              ----                              ----                    ----                             ----                             ----                  ----                              ----                ----                             ----                     ----                   ----                      ----           ----
Tuesday 08:00    ----                              ----                              ----                    ----                             VIIa, Matematyka, R302           ----                  ----                              ----                ----                             ----                     ----                   ----                      ----           VIIIc, WF, S1
Tuesday 08:50    ----                              VIIc, Biologia, R203              ----                    VIIIc, J.Polski, R103            VIIa, Matematyka, R302           ----                  ----                              ----                ----                             ----                     ----                   ----                      ----           ----
Tuesday 09:45    ----                              ----                              ----                    VIIc, J.Polski, R101             ----                             VIIb, Fizyka, R102    ----                              ----                ----                             VIIIb, J.Polski, R202    ----                   VIIa, Informatyka, R201   ----           VIIIc, WF, S1
Tuesday 10:35    VIIb, Matematyka, R102            ----                              VIIc, Geografia, R101   ----                             VIIIb, Matematyka, R202          ----                  ----                              ----                VIIa, Historia, R302             ----                     VIIIc, Chemia, R103    VIIIa, Informatyka, R201  ----           ----
