VIb, Monday 09:45, J.Polski, Urszula Sokołowska, R101,
VIb, Monday 10:35, Historia, Magdalena Mazur, R101,
VIb, Monday 11:35, J.Polski, Urszula Sokołowska, R101,
VIb, Monday 12:25, Matematyka, Mikołaj Wróblewski, R101,
VIb, Monday 13:15, J.Polski, Urszula Sokołowska, R101,
VIb, Tuesday 09:45, J.Polski, Urszula Sokołowska, R101,
Vb, Tuesday 10:35, J.Angielski, Kacper Wójcik, R101,
Vb, Tuesday 12:25, Matematyka, Mikołaj Wróblewski, R101,
Vb, Tuesday 13:15, J.Polski, Urszula Sokołowska, R101,
Vb, Wednesday 08:50, J.Polski, Urszula Sokołowska, R101,
Vb, Wednesday 10:35, J.Polski, Urszula Sokołowska, R101,
Vb, Wednesday 11:35, J.Polski, Urszula Sokołowska, R101,
Vb, Thursday 08:00, J.Angielski, Kacper Wójcik, R101,
Vb, Thursday 08:50, J.Angielski, Kacper Wójcik, R101,
Vb, Thursday 09:45, Plastyka, Joanna Zalewska, R101,
VIa, Thursday 10:35, Muzyka, Eryk Kołodziej, R101,
VIa, Thursday 11:35, J.Polski, Urszula Sokołowska, R101,
VIb, Thursday 12:25, J.Angielski, Kacper Wójcik, R101,
VIb, Friday 09:45, Matematyka, Mikołaj Wróblewski, R101,
VIb, Friday 10:35, J.Angielski, Kacper Wójcik, R101,
VIb, Friday 11:35, J.Angielski, Kacper Wójcik, R101,
VIb, Friday 12:25, J.Angielski, Kacper Wójcik, R101,
VIb, Friday 13:15, Matematyka, Mikołaj Wróblewski, R101,
IVa, Monday 08:00, J.Polski, Urszula Sokołowska, R102,
IVa, Monday 08:50, J.Polski, Urszula Sokołowska, R102,
IVa, Monday 09:45, Muzyka, Eryk Kołodziej, R102,
IVb, Monday 10:35, Muzyka, Eryk Kołodziej, R102,
IVb, Monday 11:35, Matematyka, Mikołaj Wróblewski, R102,
IVb, Monday 12:25, J.Polski, Urszula Sokołowska, R102,
IVb, Tuesday 08:00, J.Polski, Urszula Sokołowska, R102,
IVb, Tuesday 09:45, J.Angielski, Kacper Wójcik, R102,
